source,text,researcher,year,aggressive,hate
twitter,"coisa mais lindx desse mundo, vamos se comer?",leite et al,2020,0,0
instagram,Emocionante! Finalmente uma boa notícia em um mundo que tá ficando tão bizarro! Parabéns!,vargas et al,2021,0,0
twitter,duvido nada q qnd consegui entrar no site ele vai cair link,oliveira et al,2023,0,0
twitter,@user só faltou o surto da v e da ana com o cu mano kkkkkkkkkk,leite et al,2020,1,0
twitter,"Protesto “Islão, aqui, não!”:  via @user",fortuna et al,2019,0,0
twitter,"@user que feio, ministro! é mais seboso do que a fossa da globo!",leite et al,2020,1,1
twitter,@user @user sim foi o que eu falei aqui semi. mas o temple em si é curtinho. link,oliveira et al,2023,0,0
twitter,"@user ja tive essa mesma experiência, tudo igual",oliveira et al,2023,0,0
twitter,"PESSOAL ME CHAMANDO DE ""TRANSFÓBICO"" RISOS
TRABALHEI 22 ANOS EM UMA TRANSPORTADORA, COMO VOU TER FOBIA DE TRANSPORTES? INVENTEM OUTRA. #PAZ",fortuna et al,2019,0,0
instagram,Sobra para o pobre foda se,vargas et al,2021,1,0
twitter,a vontade que eu tenho de mandar todo mundo pra puta que pariu tá grande,leite et al,2020,1,0
twitter,"DEFENDENDO AS BRANCAS E LOURAS .
CONDENANDO O NEGRO. 
RACISMO, ATÉ QUANDO? ",fortuna et al,2019,1,1
twitter,quinta e sexta irei maratonar os filmes de velozes e furiosos pra ir assistir no sábado,oliveira et al,2023,0,0
twitter,@user o que quase conseguiram no passado agora com toda a certeza conseguirão graças a omissão do legislativo e judiciário. e o bolsonaro era o monstro a ser banido. ah tá.,oliveira et al,2023,0,0
twitter,hoje ela pode se achar muito simm!,leite et al,2020,0,0
twitter,nao sofro dessa possibilidade link,oliveira et al,2023,0,0
twitter,"RT @user Para a mídia o argumento que vale é ""se eu não gosto, então é Hitler""
",fortuna et al,2019,0,0
twitter,rt @user queria vencer na vida de f茫 igual a maisa venceu #mpn #luansantana #luanetes #luansantanashow ,leite et al,2020,0,0
twitter,@user gente QUE FOFURA!,fortuna et al,2019,0,0
instagram,Dois derrotados,vargas et al,2021,1,0
twitter,@user @user e olha a dm porra,leite et al,2020,0,0
twitter,"fala paraíba: paraíba tem 11,2 mil casos prováveis de dengue e s... ",leite et al,2020,0,0
twitter,@user @user vai se foder kkkkkkkkkkkkkkk,leite et al,2020,0,0
twitter,a vsf que garoto biscoitero credo,leite et al,2020,0,0
twitter,"[2/8 14:45] Maur铆cio Irm茫o: Eu vou ir l谩 pega com ele daq a pouco
[2/8 14:45] Maur铆cio Irm茫o: Pra levar pra vc
[2/8 14:45] Carolindaa馃馃従鈥嶁檧锔�: 馃檶馃従馃檶馃従馃檶馃従馃檶馃従馃檶馃従馃檶馃従馃檶馃従馃檶馃従馃檶馃従馃檶馃従
[2/8 14:45] Carolindaa馃馃従鈥嶁檧锔�: Vc salvou a minha vida 

At茅 q enfim vai fazer algo de bom, aleluiaaaaaa",leite et al,2020,0,0
twitter,@user cadê o everton ribeiro???,oliveira et al,2023,0,0
twitter,já é aniversário do nerico la na coreia link,oliveira et al,2023,0,0
twitter,"oportunista, caça like, vitimista e não vou nem te falar o que te disseram pelas costas e nada disso conseguiu diminuir você. esse prêmio é seu, freen sarocha, você merece!!! link",oliveira et al,2023,1,0
twitter,"O cara tá num carro ROUBADO, ao ser parado, sai ATIRANDO contra PM e tem consigo armas e GRANADA! Mas é SUSPEITO (! _ ",fortuna et al,2019,0,0
instagram,"😂😂😂É porque a Pepa tem o mesmo espírito ruim do Mula! Deus não ajuda a ficar no alto,a ficar bem,tá sempre se l@user mãe dizia: Quem muito quer nada tem! É o caso dela e do Mula! Beijão pra vc Carla! Estamos com vc e os bons do Congresso!🌷😘",vargas et al,2021,1,0
twitter,"""ah mas artista tal eh gorda, ela eh feia. tem tanto dinheiro e n melhora"" TE FODE GAROTA NÃO EH PQ ELA EH FAMOSA Q ELA TEM Q SER PERFEITA",fortuna et al,2019,1,1
twitter,@user puta sacanagem,leite et al,2020,0,0
twitter,pqp eu não vou usar meu off de shape não amgs rlx kkkkk,leite et al,2020,0,0
twitter,lobão é muito filho da puta mano kkkk,leite et al,2020,1,1
instagram,"E os gados aplaudem as retiradas dos seus próprios direitos,n dá pra entender isso!!!",vargas et al,2021,1,0
twitter,"Estive pensando... Uma #MulherDeVerdade é íntegra. Com seus sentimentos, consigo, com os outros. Essa é sua essência!",fortuna et al,2019,0,0
instagram,"Disse TUDO minha deputada federal, NÃO podemos deixar desses jagunços vencerem, independente de raça e credo todos perderemos.",vargas et al,2021,1,0
twitter,"Não precisamos de um dia da consciência negra, branca, parda, amarela, albina... Precisamos de 365 dias de consciência humana.",fortuna et al,2019,0,0
twitter,vou pedir pro meu pai comprar ingresso pro jogo contra o bahia,leite et al,2020,0,0
twitter,"RT @user 7 eu to CAGANDO pras pessoas que me chamam de gorda, magra, alta, baixa, feia, etc, são só opiniões e a minha é a que vale",fortuna et al,2019,1,1
twitter,não aguento mais gente tóxica pqp,leite et al,2020,0,0
instagram,Tenho medo desse povo que usa a palavra de Deus para justificar seus atos,vargas et al,2021,0,0
twitter,@user faz favor vai carai,leite et al,2020,0,0
twitter,@user parece um cenário de distopia,oliveira et al,2023,1,0
instagram,Náusea define,vargas et al,2021,1,0
twitter,@user @user confia na nossa dupla!!!!,oliveira et al,2023,0,0
instagram,Avante Brasil,vargas et al,2021,0,0
twitter,@user ?? eu apos 2 semanas lendo o caibalion,oliveira et al,2023,0,0
instagram,Só carniças! Normal.,vargas et al,2021,1,0
twitter,mano odeio depilar a perna pqp,leite et al,2020,0,0
twitter,aaaeee porra #voleinaglobo,leite et al,2020,0,0
twitter,@user @user foda é tu ver a oas comemorando já que o gremio nem estádio tem. mas é muito burro!,leite et al,2020,1,1
twitter,rt @user kkkk é o melhor que nos tem kk ,leite et al,2020,0,0
twitter,bora fugir de leiria? bora,oliveira et al,2023,0,0
twitter,"@user @user @user Curioso, pq isso cai como uma luva para a doceira plagiadora que por conta do fracasso ta com medo de lançar o 5° album kkkkk ",leite et al,2020,1,1
instagram,"O STF, com raras exceções de ministros, transformou-se em escritório de advocacia para bandidos!!! 🙌🙏🙌",vargas et al,2021,1,0
twitter,@user amiga nn to conseguindo... me manda uma mensagem pls 🙏,leite et al,2020,0,0
twitter,"@user @user @user De repente um defensorzinho acefalo da propriedade privada está justificando invasões de uma reunião. 
Legal!",leite et al,2020,1,1
twitter,comprei uma mochila lindinha da fricote pra usar per铆odo que vem mas minha m茫e disse que n茫o vai conseguir pegar ela hoje 馃槶馃槶,leite et al,2020,0,0
twitter,só queria minha mãe agora comigo ??,oliveira et al,2023,0,0
twitter,@user eu fiquei muito horrorizada pqp,leite et al,2020,0,0
twitter,"t谩, mas cad锚 a tatuagem? kkkk",leite et al,2020,0,0
twitter,rt @user sei lá o jeito que ele se parece com um nabo é diferente... ,leite et al,2020,0,0
twitter,"caralho, vou voltar pro treino pra ver se aprendo a dar chute lindo desses",leite et al,2020,0,0
twitter,@user @user @user @user é pq tu n tava aqui de madrugada,oliveira et al,2023,0,0
twitter,"@user 

• primeira impressão: gata pra caralho
• seu apelido: amandinha
• proximidade: 60%
• uma lembrança: aquele dia lá kkkk rs
• eu gosto de você: bastante 
• pra ser honesto: saudade",leite et al,2020,0,0
twitter,confira o vídeo de claudinéa monteiro! #tiktok link,oliveira et al,2023,0,0
twitter,rt @user saudades eu tenho é ensino fundamental que eu comia feijão tropeiro as 9 da manhã sem critério nenhum,leite et al,2020,0,0
twitter,@user @user infelizmente é bem provável. pq o atual prefeito não ajuda.,leite et al,2020,0,0
twitter,n gosto de liberdade,oliveira et al,2023,0,0
twitter,"é bom reconhecer que não é através de discursos de ódio e prepotência que as coisas se resolvem. agora o pesadelo acabou! a petrobrás assumiu a responsabilidade de participar do crescimento do brasil, a política de paridade internacional de preços altos, finalmente acabou.",oliveira et al,2023,0,0
twitter,quando vejo as declarações dos advogados de defesa da família de jb rachadinha percebo que eles enxergam a @user como a foto abaixo. @user @user @user pf pelos olhos de bolsonaro e familia: link,oliveira et al,2023,0,0
twitter,Marcelo Zero: Nem Rio Branco salvaria a política externa do governo golpista  via @user,fortuna et al,2019,0,0
twitter,"sonhei q tinha iphone, cansei de ser pobre",oliveira et al,2023,1,1
twitter,em choque percebi q conhe莽o + d 10 perfeito n茫o precisa d nada mais,leite et al,2020,0,0
twitter,"rt @user mãe é foda, sente logo as coisas .",leite et al,2020,0,0
twitter,@user e o problema do país é a manicure ?? da primeira dama michelli bolsonaro.,oliveira et al,2023,0,0
twitter,"esse novo desfile da gucci parece uma junçao de designers, eu vejo diesel, eu vejo miumiu, eu vejo jw anderson, vejo ate lv ... mas nao vejo gucci, uma completa bagunça",oliveira et al,2023,0,0
twitter,porra ontem foi bom p crlh,leite et al,2020,0,0
twitter,enfia essa corrente no cu vou repassar oq,leite et al,2020,1,0
twitter,"@user vou querer me mudar
para uma life on mars",leite et al,2020,0,0
twitter,vou dar veneno de rato pra essa meninaa,oliveira et al,2023,1,0
twitter,"3º dia da 38ª Jornada Carioca de Cirurgia Plásticas - Baker Gordon Symposiun, em breve conteúdo inédito e todas as novidades do evento. 💉sbcp_rj #CirurgiaPlastica #PlasticSurgery #DraNathaliaFagundes… ",leite et al,2020,0,0
instagram,"Quantos likes pudesse dar nessa foto, eu daria! ❤️❤️❤️❤️❤️❤️",vargas et al,2021,0,0
twitter,para alguns kk,leite et al,2020,0,0
twitter,"rt @user para evitar outro empurrão de gorda, padre marcelo rossi vai armado em missa. ",leite et al,2020,0,0
twitter,@user @user @user @user só falta ser o do século. até o eminem surra esse sem talento do caralho only jabá,leite et al,2020,0,0
instagram,Velho comunista safado,vargas et al,2021,1,1
twitter,"RT @user A mídia não mostrou, mas o STF que não se vigie pra ver... Somos Todos @user  @user  @user http _",fortuna et al,2019,0,0
twitter,@user @user coisa feia,leite et al,2020,0,0
twitter,@user vai lavar esse teu pau sujo boy lixo,leite et al,2020,1,1
twitter,"Ah, o perigo do Islão, e tal, e a civilização europeia, e não sei quê. ",fortuna et al,2019,0,0
twitter,pessoas que jogam lixo na rua perdem 7 pontos no ranking da amizade,leite et al,2020,0,0
instagram,Prezado meu pai dizia “ das palavras q falo sou escravo das que penso sou rei “! Por favor escreva 2000000vezes pra nunca mais esquecer e não prejudicar mais o nosso Presidente em quem confiamos !,vargas et al,2021,0,0
twitter,Feliz dia das mulheres! ,fortuna et al,2019,0,0
twitter,"montando meu primeiro curriculo para o estagio la no hospital e só consigo pensar “beleza, nome já foi, agora que que eu escrevo?”",leite et al,2020,0,0
twitter,@user jqjjqjqjqjqjqjjqjqjqjqjqjjqjqjqjqjqjqjjqjqjq,oliveira et al,2023,0,0
twitter,"@user é vc que ta usando flor??? é foda ver uma mulher diminuir a outra só pra se sentir melhor né, melhore mona 😘",leite et al,2020,0,0
twitter,"Deus me dê paciência pra aguentar a impaciência da Marli pqp pra que inventei de ser sócia dessa louca??? Mas vdc, tem que dar ",leite et al,2020,1,0
twitter,~*~*~*~ vOcÊ é NeGrA mAs AtÉ qUe é BoNiTa ~*~*~*~,fortuna et al,2019,1,1
twitter,que grt fdp kkkkkkkkk,leite et al,2020,0,0
twitter,rt @user o que adianta ser assim e só tomar no cu? ,leite et al,2020,0,0
instagram,Lindo meu anjo ❤️,vargas et al,2021,0,0
instagram,É um filha da puta,vargas et al,2021,1,0
twitter,@user quer ser minha namoradinha? ?? ????????,oliveira et al,2023,0,0
twitter,rt @user @user linda da porra ❤️🥰,leite et al,2020,0,0
instagram,Sera que só eu acho que ta passando da hora de um impeachment pra tirar esse cara?,vargas et al,2021,0,0
twitter,@user não tá prestando amg kkkkkkkkkkkkkkkkkk,oliveira et al,2023,0,0
twitter,@user gente q vagabunda,oliveira et al,2023,1,1
twitter,@user @user foi fazer o l ?? link,oliveira et al,2023,1,1
twitter,que puta sono eu tô agora,leite et al,2020,0,0
twitter,rt @user anda foder cmg,leite et al,2020,1,0
instagram,"Muito bem eduardo,nao vou perder .obrigado",vargas et al,2021,0,0
twitter,@user olavo é só um monte de bosta comido pelos vermes.,oliveira et al,2023,1,1
twitter,@user @user @user mlk esse video me fez vomitar de rir,oliveira et al,2023,0,0
twitter,@user Angola não wi,fortuna et al,2019,0,0
twitter,@user nem liga... pra esse povo mimizento....,fortuna et al,2019,0,0
twitter,"acordar e receber essa mensagem maravilhosa, amo ??",oliveira et al,2023,0,0
instagram,"Coisa feia, vai cuidar da sua casa,",vargas et al,2021,1,0
twitter,@user tu me ilude mais que ela vsf kkk,leite et al,2020,0,0
twitter,se eu conto isso pra camilinha ela rir da minha cara,oliveira et al,2023,0,0
instagram,Essa greta tem que caçar o que fazer. Não sabe nada da vida. É todo.mundo fica dando corda ao discurso politicamente correto. Deixa ela passar um tempo na Amazônia pra ela ver o que é bom. O povo tem que entender que a natureza é soberana e cíclica. O homem só muda o seu nicho e não todo o planeta.,vargas et al,2021,1,0
twitter,"@user @user @user @user eu nem gosto do bolsonaro cara kkkk só que entre ele e um criminoso eu escolheria ele, por incrível que pareça há gente que discorde",oliveira et al,2023,1,1
twitter,@user eu te ajudo se quiser,oliveira et al,2023,0,0
twitter,@user crédito bancario,oliveira et al,2023,0,0
twitter,de treta em treta comendo buceta,oliveira et al,2023,1,1
instagram,"@user o lixo ,verme ,podre ,câncer ,azar ,ser das trevas ,da morte ,encosto ,infeliz ,infernal do noblat sempre fala no blog dele tic ,tac sobre a chata da Marielle !envolvendo vocês",vargas et al,2021,1,0
twitter,"Puta que pariu, tarra andando volta pra casa à noite de repente senti teia de aranha na minha testa. Bixa, o desespero foi tanto que fiquei me debatendo na rua. Fodac o que acharem, aranhas australianas não estão para brincadeiras.",leite et al,2020,0,0
twitter,"Pela Europa das Nações livres e soberanas, este é e sempre será o nosso modelo!

#Brexit #EU ",fortuna et al,2019,0,0
twitter,"@user Mas realmente,eu ficava por muito pouco de brigar com os clientes,pq só por Deus atender gente mal educada 😕 o pior era quando era uma mãe e seu filho..E o filho sendo uma desgraça e eu não poder falar nada pq era família rica né e eu tinha que obedecer 😣",leite et al,2020,0,0
twitter,rt @user porra os shows ontem foram muito fodas,leite et al,2020,0,0
twitter,@user neta????,oliveira et al,2023,0,0
twitter,tô vendo a hora eu tacar fogo nessas burguesa do caralho,leite et al,2020,0,0
twitter,RT @user Vai continuar a encolher os ombros ou vai mudar e apoiar o #PNR? ,fortuna et al,2019,0,0
twitter,"@user nossa sim, pqp eu fico sem saber o que pensar, pq começo a pensar pensar pensar e perco o fio da meada",leite et al,2020,0,0
twitter,Dia da mulher e estou eu feita escrava a lavar a casa. Parece que sou burra.,fortuna et al,2019,1,1
twitter,RT @user @user por isso eu sou sapatao. super indico.,fortuna et al,2019,1,1
twitter,esse ódio e ciúmes todo pra que heim?kkkkkkkkkkk eu me racho,oliveira et al,2023,0,0
twitter,As garotas aqui do escritório viram aquele tt do bolo de morango e decidiram comprar um parecido hj kkkk eu tenho o melhor trabalho do mundo! Obrigado Deus ,leite et al,2020,0,0
twitter,linguagem de amor: ódio link,oliveira et al,2023,0,0
twitter,@user pior que eu ri,oliveira et al,2023,0,0
instagram,Tadeu do PSL. (Partido Só de Laranjas.) Atitude repudiante. Tá louco meu!!! É hora de impor limites a esses fascistas de MERDA.🤢,vargas et al,2021,1,1
twitter,so talentoso p crl,leite et al,2020,0,0
instagram,@user não entendi o porquê do preconceito com Roraima.,vargas et al,2021,0,0
twitter,@user uso essa frase como se n houvesse amanhã... mas o amanhã sempre chegakkkkkkkkkkk,oliveira et al,2023,0,0
twitter,? • sultan love ?? capítulos: 16 onde ler: mangá livre link,oliveira et al,2023,0,0
twitter,"eu com cólica nesse frio e esqueci meu remédio.

se existe alguém mais burro, é só o útero da minha mãe pq me criou

a morte vêm jajá",leite et al,2020,0,0
twitter,bolsonaro chega à pf para depor sobre fraude em cartões de vacina ?? breno esaki/metrópoles link,oliveira et al,2023,0,0
instagram,Agradeça ao japa,vargas et al,2021,0,0
twitter,@user Estou dizendo que vc é míope. Enxerga a sua rua e mais nada! Inclusive interpretação de texto,fortuna et al,2019,0,0
twitter,eu não consigo esquecer do amigo ontem desbloqueando o telefone com o dedo do pé hahahahhahahha não diaaa deus me livre!!!!!!!,leite et al,2020,0,0
twitter,"Democráticos eles, hein? Deveriam mudar o nome do partido para ""dictator-crats"". ",fortuna et al,2019,0,0
twitter,"@user não precisa de #lingerieday, puta parada de Barangas-Nerds atrás de rolas virgens! Pra isso tem sites pornôs bem melhores...",fortuna et al,2019,1,1
twitter,rt @user mas se vc quiser me foder td dia eu deixo tmb ,leite et al,2020,1,0
twitter,sou um ser homossexual que só quer se dar com heteros porque as fufas ficam a lamber os dedos cheio de batata na minha frente.,fortuna et al,2019,1,1
twitter,carlho que jogão porra,leite et al,2020,1,0
instagram,VERDADE👏👏👏👏👏👏👏,vargas et al,2021,0,0
twitter,"rt @user tropa do urso vai fuder seu xerecã0 (( dj geh da lgd )) baile do urubu 2k19
",leite et al,2020,1,0
twitter,salvando essa thread pra rir mais tarde ???? link,oliveira et al,2023,0,0
twitter,rt @user n aguento mais chorar por autoestima baixa eu me sinto tão feia o tempo todo,leite et al,2020,0,0
twitter,"@user ta parecido, tirando o fato que é loiro e branco, de resto ta OK",fortuna et al,2019,0,0
twitter,doida pra ver josiane tomando um pau mais tarde 😉,leite et al,2020,0,0
instagram,Enlouqueceu essa Joice!! Quanta prepotência arrogância dessa Joice.,vargas et al,2021,1,0
twitter,"@user oq está acontecendo com nossos ídolos?
será q a rede globo lixo está fazendo lavagem cerebral neles?",leite et al,2020,0,0
twitter,"@user que pegue esses safados, todos, ficamos reféns desses ladrões que invadem a nossos celulares....",leite et al,2020,0,0
twitter,"@user deve ser do mesmo dono da água mineral ""uai"", que é distribuída no espírito santo! 🤷",leite et al,2020,0,0
twitter,@user seeeeee.... manga d pelotudos,oliveira et al,2023,0,0
twitter,"@user @user serviria pra colocar um monte de torcedor consumidor, daqueles que assistem aos jogos com o código de defesa do consumidor debaixo do braço, ainda mais perto dos jogadores.",oliveira et al,2023,0,0
twitter,"pérola tá terrível , ela se acha grande",leite et al,2020,0,0
twitter,"minha irmã tacou o controle na minha cara, fdp kkkkk",leite et al,2020,0,0
twitter,"SÓ LEMBRANDO: HOMEM DE SAIA E MAQUIAGEM COMEMORANDO O #diainternacionaldamulher É APROPRIAÇÃO CULTURAL.
NÃO VAMOS ADMITIR ISSO.",fortuna et al,2019,1,1
twitter,@user se compactua com esses tipos não vale a pena nem ver na tv,oliveira et al,2023,1,0
twitter,@user @user @user não existe fundo do poço no brasa...,leite et al,2020,0,0
twitter,"@user  falou que o @user ia despencar     
kkkkkkkkkkkk ",fortuna et al,2019,0,0
twitter,rt @user 😂😂😂conheço  muita gente assim ,leite et al,2020,0,0
twitter,@user @user @user tô zuando só mano,leite et al,2020,0,0
twitter,"""Nutella pode provocar cancro"".
Espero que esta notícia ajude a diminuir a taxa de obesidade.
Basta os gorditos continuarem a mamar Nutella",fortuna et al,2019,1,1
twitter,@user nossa amigo que lindaaaaaaaaa,oliveira et al,2023,0,0
twitter,@user @user só é legal pq mostra como o Jason morreu,fortuna et al,2019,0,0
twitter,"mano é mt bom pq o cara quando vê que a porta abre se cagou todo. se fudeu, otário do caralho",leite et al,2020,1,1
twitter,"@user mano que mulher linda da porra se fuder, eu queria ter coragem p cortar assim
miga ta mt lindo mt lindo mesmo super charmosa",leite et al,2020,0,0
twitter,@user bom dia  flor d dia,leite et al,2020,0,0
instagram,"Joice é triste ver uma pessoa como vc que tinha realmente futuro na política. Me parece que vc cortou os pulsos (suicídio politico) , como não morreu agora tenta tomar chumbinho. O que há com vc ? Parece que a sua vaidade está afetando o seu raciocínio, e esse papo de direita equilibrada, racional não cola, vc não percebe? Ser líder de um partido que vai quebrar e que antes do Bolsonaro não era nada. (Não tenho heróis policitos).",vargas et al,2021,1,0
twitter,"rt @user puta merda, enalteça o vitao🤤🤤🤤🤤🤤 ",leite et al,2020,0,0
twitter,meu irmão me mandou um áudio do nada dizendo que o cachorro comeu a ponta do baseado kkkkkkkkkkkkkkkkkkkkk,leite et al,2020,0,0
twitter,@user feia eh pouco pra definir aquilo,leite et al,2020,1,1
twitter,@user @user não dá ideia ??????,oliveira et al,2023,0,0
twitter,@user @user @user a ideilogia dele não é o oposto disso. você se baseia em editorial da globo pra dizer isso. os dados econômicos confirmam que a população mais pobre foi beneficiado com o programa de assistência do governo bolsonaro (auxílio emergencial e auxílio brasil).,oliveira et al,2023,1,1
twitter,vivendo ou aguardando o próximo episódio de succession?,oliveira et al,2023,0,0
twitter,@user enquanto isso a pauta dos governantes é receber ou não imigrantes refugiados. ... poucos têm de fato interesse na solução :(,fortuna et al,2019,0,0
twitter,"Os cara roubou 750 kilos de ouro, sem dar 1 tiro, sem ferir pai de fam铆lia ou m茫e de fam铆lia, sumiram no mapa e ainda apagaram as digitais dos carros. Fala se os fdp n茫o e inteligente? Voc锚s que roubam pai de fam铆lia ou m茫e aprendem a铆 e deixem de ser pebas fudido",leite et al,2020,0,0
twitter,"@user @user Ele não apoiava o Abel, apenas defendia a permanência do Abel? Mas, que porra vc quis dizer? 
Você não entende q defender a permanência do Abel, seja qual for a justificativa, é defender o próprio Abel? Vc já se esqueceu do que o Abel fez no comando? É cego? Surdo?",leite et al,2020,0,0
twitter,nunca sei o que dizer quando uma amiga fala que ta gravida,oliveira et al,2023,0,0
twitter,RT @user Parabéns às mulheres q merecem respeito não só hj mas todos os dias do ano assim como os homens. Só unidos teremos uma s _,fortuna et al,2019,0,0
instagram,LA GRETA QUE LA PARIU,vargas et al,2021,1,0
twitter,olha eu me achava desenebido até ver os storys dessa g4ezinh4 pela amor de deus vontade de denunciar,oliveira et al,2023,1,1
twitter,"@user @user foi asqueroso demais, até para os padrões globo de mau caratismo. e o barroso, lamentável! 🤮",leite et al,2020,1,1
twitter,1 dúvida: quem tem preguiça vai pro inferno ou eles buscam em casa?,fortuna et al,2019,0,0
twitter,"porr eu fico loco como a elite dessa cidade q compõe 1% de nós consegue foder tudo e esses arromb*do nem de condução anda, quem decide essas coisas ta roncando de bm na marginal vsf vsfff",oliveira et al,2023,1,0
twitter,"boooooom dia, universo ??????",oliveira et al,2023,0,0
twitter,vai tomar no cu desse simulado,leite et al,2020,1,0
twitter,"acho engraçado esses macho q a gnt n da chance, eles já logo acham que somos lésbicas, até pq né não existe a opção da gente não querer sabe BANDO DE PAU NO CU",leite et al,2020,1,1
twitter,"@user @user e ao nível apresentado pelo futebol feminino br, ou seja, patético",oliveira et al,2023,0,0
twitter,caralho q beijo gostoso filha da puta,leite et al,2020,1,1
twitter,to na paulista now. quem quiser almoçar bora.,leite et al,2020,0,0
twitter,"@user 
Pesadelo? Naaaa... Um sonho que vai tomando contornos de realidade.",fortuna et al,2019,0,0
twitter,essas coisas me cortam o coração,leite et al,2020,0,0
twitter,"eu amo a becky, caras, e o melhor de tudo, ela me ama também ????????????",oliveira et al,2023,0,0
twitter,"Imagina ev e você
Casados
17 filhos... 9 pegaram peste
1 bvrrinho de carga
Plantação de trigo
Fogveira Philips Walita
Espada avto-limpante Polishop",leite et al,2020,0,0
twitter,"nenhum de nos dois, a gente é cara de pau kkskdkf",leite et al,2020,0,0
twitter,SIM É IGUAL A ABRAÇAR UM BARRIL #JOAQUINRESPONDE ,fortuna et al,2019,0,0
twitter,anão ,leite et al,2020,0,0
twitter,@user nao cara um dos unicos desenhos que eu nunca assisti ai que odio e peguei um puta spoiler do universo dos desenhos famosinhos eu so nao assisti steven e hora de aventura,oliveira et al,2023,0,0
twitter,@user em primeiro claro ??,oliveira et al,2023,0,0
twitter,@user @user estão de ku piscando e fazendo ceninha para tapear besta.,oliveira et al,2023,1,0
twitter,"Reação da esquerda quando o fotografo invadiu a privacidade do @user e do @user  -  ""OK"" ""hahahha fascistas"" e etc...",fortuna et al,2019,0,0
twitter,caralho perfeita,leite et al,2020,0,0
twitter,@user pelo menos o carro dele não sai fumaça e ele não cogitou a possibilidade de deixar a gente na rua 🗣,leite et al,2020,0,0
twitter,@user tenho pena desses cara do vôlei kkkkkk a maioria dos fã de vôlei é mulher chata e yag do tipo tuiteiro,oliveira et al,2023,1,1
twitter,saí do trabalho agora indo ler a materia,oliveira et al,2023,0,0
twitter,pqp kkkkkkkkk ,leite et al,2020,0,0
twitter,karma já ta no meu top 3 dark blood tracklist #darkblood #enhypen #enhypen_4thminialbum @user @user,oliveira et al,2023,0,0
twitter,"rt @user que grande cu é ver o festival pela tv.

que nunca me falte dinheiro, tempo e saúde pra ver meu boi pessoalmente",leite et al,2020,0,0
twitter,"Graças a Deus tudo indica que não vão falar de suicído e depressão, por que essa série serve sim como gatilho, não acredito que tem gente que tanto criticou e ta dando palco. Séries como Anne with an e é que merecem ser enaltecidas.  #13ReasonsWhy ",leite et al,2020,0,0
twitter,"o dia ontem foi tão corrido, que eu ainda estou cansada. mas só gratidão deu tudo certo! ??????",oliveira et al,2023,0,0
twitter,essa thread é muito necessária,leite et al,2020,0,0
twitter,@user vem deixar soraya montenegro emocionada amore ,leite et al,2020,0,0
twitter,@user @user pq o fábio santos voltou se o bidu tá jogando bem ??,oliveira et al,2023,0,0
twitter,"rt @user gente? como vcs fazem pra ficarem bonitos sérios nas fotos? porq eu fico com uma cara de cavalo cansado, que pqp kkkkk",leite et al,2020,1,0
twitter,rt @user caralho macaco o que tu tá pensando da vida irmão ,leite et al,2020,0,0
twitter,"[2/8 22:15] júlia albert ✨: amanhã vamos sair 14h
[2/8 22:20] pretinha 💛: tá bom amor

já vai dar 13h e a bonita ainda não acordou",leite et al,2020,0,0
twitter,@user tudo pra mim caralho,leite et al,2020,0,0
twitter,@user chamo de feio na caruda kkkk,leite et al,2020,0,0
twitter,@user @user @user investimento da época do bolsonaro ?????????? não foi pra isso que fizeram o l,oliveira et al,2023,0,0
twitter,@user Viu as fotos que postei?,fortuna et al,2019,0,0
twitter,pq a fila parou de novo ??,oliveira et al,2023,0,0
instagram,"Cidadão de bem, igual@user por aí... nojo",vargas et al,2021,1,0
twitter,"Então pq chama a mina de interesseira? Se não conhece não fala oq não sabe, porra.
Isso deve ser medo né kkkkkkkk — KKKKKKKKKKKKKKK MAS É MESMOOOOOO ",leite et al,2020,1,1
twitter,@user infelizmente não é pedindo que elas vão parar,leite et al,2020,0,0
twitter,"@user #STFVergonhaNacional 
@user é... estou a meses falando de DITADURA da TOGA! Não vou me surpreender, se o STF, decidir ""CAÇAR e/ou PRENDER"" todos aqueles que ousar fica contra as vossas decisões SUPREMAS. 
Realmente estou preocupado!
#NasRuasContraSTF",leite et al,2020,0,0
twitter,"mandei a esposa do vinheteiro tomar no cu. não com essas palavras. com todo respeito ao lord. hahahaha pedante, com mania de grandeza, ar de superioridade, arrogância e complexo de deus. aqui, não!!!",oliveira et al,2023,1,0
twitter,reizinho,leite et al,2020,0,0
twitter,"é a rodada mais feliz da vida, escalo vascaíno p caralho no cartola e não é clubismo",leite et al,2020,0,0
twitter,"manoooo, não consigo parar de ver esse clip kkkkkkkkkkkkkk @user @user @user",leite et al,2020,0,0
twitter,@user cadeia já,oliveira et al,2023,0,0
twitter,e feia,leite et al,2020,1,1
twitter,"@user @user @user não se vê no novo testamento o apóstolo paulo chamando nero de genocida, nem o apóstolo pedro chamando nero de ladrão, apesar de nero crucificar e jogar os cristãos aos leões. satanás cegou os cristãos de hoje para ficarem brigando por causa de lula ou bolsonaro, em vez de… link",oliveira et al,2023,1,1
twitter,@user eu... não quero animar.,oliveira et al,2023,0,0
twitter,essa seleção de vôlei fraquíssima pqp,leite et al,2020,0,0
twitter,hahshahhshahahshshah @user,oliveira et al,2023,0,0
twitter,loucos surtados sempre se entendem no final,leite et al,2020,0,0
